날짜,노선번호,역/정류장명,승차인원,하차인원,교통수단
20230901,106번(의정부~동대문),,200.0,165.0,버스
20230901,106번(의정부~동대문),,92.0,77.0,버스
20230901,106번(의정부~동대문),,71.0,127.0,버스
20230901,106번(의정부~동대문),,67.0,70.0,버스
20230901,106번(의정부~동대문),,38.0,227.0,버스
20230901,106번(의정부~동대문),,88.0,82.0,버스
20230901,106번(의정부~동대문),,49.0,50.0,버스
20230901,106번(의정부~동대문),,111.0,113.0,버스
20230901,106번(의정부~동대문),,120.0,138.0,버스
20230901,106번(의정부~동대문),,130.0,164.0,버스
20230901,106번(의정부~동대문),,98.0,309.0,버스
20230901,106번(의정부~동대문),,79.0,101.0,버스
20230901,106번(의정부~동대문),,97.0,224.0,버스
20230901,106번(의정부~동대문),,72.0,113.0,버스
20230901,106번(의정부~동대문),,166.0,4.0,버스
20230901,106번(의정부~동대문),,137.0,26.0,버스
20230901,106번(의정부~동대문),,167.0,41.0,버스
20230901,106번(의정부~동대문),,240.0,25.0,버스
20230901,106번(의정부~동대문),,71.0,43.0,버스
20230901,106번(의정부~동대문),,297.0,121.0,버스
20230901,106번(의정부~동대문),,52.0,27.0,버스
20230901,106번(의정부~동대문),,24.0,32.0,버스
20230901,106번(의정부~동대문),,113.0,76.0,버스
20230901,106번(의정부~동대문),,144.0,68.0,버스
20230901,106번(의정부~동대문),,178.0,61.0,버스
20230901,106번(의정부~동대문),,131.0,282.0,버스
20230901,106번(의정부~동대문),,507.0,211.0,버스
20230901,106번(의정부~동대문),,482.0,192.0,버스
20230901,106번(의정부~동대문),,15.0,123.0,버스
20230901,106번(의정부~동대문),,13.0,119.0,버스
20230901,106번(의정부~동대문),,10.0,153.0,버스
20230901,106번(의정부~동대문),,1.0,80.0,버스
20230901,106번(의정부~동대문),,68.0,108.0,버스
20230901,106번(의정부~동대문),,40.0,95.0,버스
20230901,106번(의정부~동대문),,211.0,92.0,버스
20230901,106번(의정부~동대문),,56.0,131.0,버스
20230901,106번(의정부~동대문),,114.0,113.0,버스
20230901,106번(의정부~동대문),,111.0,97.0,버스
20230901,106번(의정부~동대문),,86.0,94.0,버스
20230901,106번(의정부~동대문),,69.0,146.0,버스
20230901,106번(의정부~동대문),,207.0,109.0,버스
20230901,106번(의정부~동대문),,112.0,74.0,버스
20230901,106번(의정부~동대문),,82.0,41.0,버스
20230901,106번(의정부~동대문),,150.0,73.0,버스
20230901,106번(의정부~동대문),,140.0,26.0,버스
20230901,106번(의정부~동대문),,176.0,155.0,버스
20230901,106번(의정부~동대문),,58.0,1.0,버스
20230901,106번(의정부~동대문),,81.0,84.0,버스
20230901,106번(의정부~동대문),,71.0,87.0,버스
20230901,106번(의정부~동대문),,188.0,120.0,버스
20230901,106번(의정부~동대문),,11.0,92.0,버스
20230901,106번(의정부~동대문),,287.0,37.0,버스
20230901,106번(의정부~동대문),,191.0,123.0,버스
20230901,106번(의정부~동대문),,159.0,97.0,버스
20230901,106번(의정부~동대문),,389.0,147.0,버스
